,experiment_day,sex,Gal_positive,state,estrous_stage,ID_mouse,Genotype,Behaviour_6hFD,aggressive,Cm(pF),Adaptive,I_zero,I_zero_reclassified,60mV,Firing_freq_(Hz)_I0,Instant_freq_(Hz),isi_(ms),cat_categ,CaT,Ih,Ih_at_-120mV,AP_ampl,AP_halfwidth,AP_time_to_peak,area(mV_ms),rheobase_at_-60mV_(pA),AHP_(mV),Vm,Input_Resistance,sPSC_frequency,sPSC_Amplitude(pA),sPSCs_Rise time,sPSCs (decay),AC-I0,AC_-60,Comments,estrous_confirmation
196,S1C7 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,yes,tonic,tonic,silent,6.4,6.75,156.5,no,0.0,yes,10.2,77.8,2.7,2.2,240.6,12.0,-45.8,-39.11911885,622.1385856,0.323076923,19.1,1.0,7.6,,,,
197,S1C8 03102023,F,Unknown,pan-MPOA-virgin,P,BRAC8259.6c,WT,Agg-,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,5.5,0.0,0.0,0.0,0.0,30.0,0.0,-64.67239697,487.0209691,1.996710526,9.1,0.7,11.7,,,,
198,S1C1 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,29.60706168,no,tonic,tonic,silent,0.22,0.3,4372.4,no,0.0,yes,6.1,100.0,3.2,2.3,335.7,12.0,-62.6,-44.18231386,680.5169978,2.793650794,5.45,0.3,,,,,
199,S1C2 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,39.10629355,yes,tonic,tonic,silent,2.31,2.46,431.0,no,0.0,yes,10.7,87.8,2.4,1.9,233.6,,-50.4,-41.55732861,1012.413102,0.097826087,9.4,1.5,8.9,Weird synaptic …noise!!!,,,
200,S1C3 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,26.76586801,no,phasic,phasic,silent,0.9,1.33,1110.0,yes,12.82,yes,24.41,77.5,1.2,1.6,117.8,15.0,-55.5,-46.35057206,397.388407,0.385747939,9.1,1.0,6.8,,,,
201,S2C4 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,32.0030081,no,tonic,tonic,silent,3.0,3.2,331.2,yes,9.25,no,0.0,96.9,2.1,2.2,244.5,7.0,-59.3,-44.27310993,839.6824879,0.769230769,9.6,1.5,10.2,,,,
202,S2C5 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,37.84850213,no,tonic,tonic,silent,1.44,1.6,690.5,no,0.0,yes,6.13,96.3,2.1,2.0,241.6,9.0,-53.5,-44.84813094,607.067729,1.210674157,8.0,1.3,11.8,,,,
203,S2C6 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,41.23782431,yes,tonic,tonic,silent,2.4,1.4,711.5,yes,4.94,yes,5.0,99.7,2.2,2.0,252.8,6.0,-53.0,-45.69179328,725.0685512,0.953647416,6.8,2.2,14.5,,,,
204,S2C7 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,35.3723195,no,silent,silent,silent,0.0,0.0,0.0,yes,7.3,yes,9.4,0.0,0.0,0.0,0.0,15.0,0.0,-47.9979994,649.453049,2.930940729,10.6,1.2,11.7,,,,
205,S2C8 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,38.67616255,no,phasic,phasic,phasic,1.3,1.6,782.0,yes,22.8,yes,1.6,97.7,2.1,2.0,240.0,4.0,-52.0,-46.47751512,816.4253782,1.40716232,11.9,1.7,17.6,,,,
206,S2C9 09102023,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,26.45665097,no,tonic,tonic,silent,1.6,2.0,607.0,yes,17.3,yes,6.71,104.8,2.09,2.05,260.0,7.0,-55.0,-46.53087488,671.380685,0.506887052,8.0,0.9,7.7,,,,
207,S2C10 0910202,F,Unknown,pan-MPOA-virgin,M,BRAC 8504.4b,WT,Agg-,,103.2082601,,tonic,tonic,silent,1.8,2.2,557.0,yes,13.7,yes,1.0,77.4,2.8,2.5,234.8,39.0,-47.3,-37.99041069,387.0425883,1.055194805,9.2,2.2,10.9,,,,
208,S1C1 16102023,F,Unknown,pan-MPOA-virgin,P,BRAC8737.1h,WT,Agg-,,106.1898429,no,phasic,phasic,silent,1.0,1.2,981.6,no,0.0,yes,5.2,92.6,1.5,1.9,179.9,15.0,-54.4,-45.30979997,693.4894616,0.043333333,8.0,5.2,1.3,,,,
209,S1C2 16102023,F,Unknown,pan-MPOA-virgin,P,BRAC8737.1h,WT,Agg-,,223.3538427,no,phasic,phasic,silent,0.7,1.0,1359.0,no,0.0,yes,4.3,104.2,1.6,1.7,196.4,36.0,-49.7,-45.49353394,383.9057526,1.183333333,11.4,1.3,11.6,,,,
210,S1C3 16102023,F,Unknown,pan-MPOA-virgin,P,BRAC8737.1h,WT,Agg-,,28.99471027,no,tonic,tonic,silent,5.1,5.4,194.7,no,0.0,yes,13.61,106.7,2.0,1.3,194.9,3.0,-60.2,-46.81782236,781.9377007,1.13060686,17.1,0.8,7.0,,,,
211,S1C416102023,F,Unknown,pan-MPOA-virgin,P,BRAC8737.1h,WT,Agg-,,33.45358503,no,tonic,tonic,silent,2.7,3.0,369.8,no,0.0,yes,2.0,78.4,2.6,1.8,213.3,13.0,-52.6,-40.50500956,941.8333197,0.613402062,8.0,1.0,10.3,,,,
212,S1C2 27092023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8526.1d,WT,npy_antag,,,,phasic,phasic,silent,8.1,9.5,123.8,no,0.0,yes,6.23,55.8,2.4,2.1,152.0,,-41.1,-36.4848377,693.0539414,2.58245614,8.6,0.9,7.9,,,,
213,S1C3 27092023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8526.1d,WT,npy_antag,,,,tonic,tonic,silent,2.2,3.0,457.0,no,0.0,yes,6.85,103.6,1.75,1.9,216.0,,-57.1,-40.56472085,602.8996879,4.452569571,14.8,0.7,5.9,,,,
214,S1C4 27092023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8526.1d,WT,npy_antag,,,,tonic,tonic,silent,1.6,1.95,624.0,no,0.0,yes,4.8,74.5,2.7,2.1,230.0,,-43.3,-38.83701034,978.9789481,0.535603715,29.1,0.8,10.15,,,,
215,S1C5 27092023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8526.1d,WT,npy_antag,,,,tonic,tonic,silent,13.2,13.9,75.9,no,0.0,no,0.0,67.9,3.5,2.4,250.5,,-40.2,-33.38916418,553.877855,0.798291721,10.7,0.7,7.85,,,,
216,S1C1 05102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8737.1e,WT,npy_antag,,,no,tonic,tonic,silent,3.85,4.32,259.5,no,0.0,yes,1.22,97.8,1.4,1.6,169.5,6.0,-60.7,-52.0138849,260.258776,6.453333333,26.1,1.0,9.3,,,,
217,S1C2 05102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8737.1e,WT,npy_antag,,,no,phasic,phasic,silent,0.8,1.4,1246.0,no,0.0,no,0.0,89.6,1.8,1.8,183.0,24.0,-53.1,-44.65679829,608.3581923,4.783333333,14.1,1.1,14.0,,,,
218,S1C3 05102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8737.1e,WT,npy_antag,,,no,tonic,tonic,silent,1.35,1.47,739.3,no,0.0,yes,0.0,88.8,2.6,2.1,267.6,9.0,-57.3,-46.98569222,825.650125,0.980079681,6.6,2.5,23.9,,,,
219,S1C1 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,,tonic,tonic,silent,2.6,3.42,381.2,no,0.0,yes,5.92,52.2,3.4,5.43,414.0,,-39.7,-33.30664509,,,,,,,,,
220,S1C2 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,no,phasic,phasic,silent,1.3,1.6,782.8,no,0.0,yes,2.2,88.14,1.5,1.7,,,-60.0,-48.17459017,786.3072616,1.561662089,17.4,0.7,6.5,,,,
221,S1C3 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,yes,tonic,tonic,silent,1.1,1.8,892.3,no,0.0,yes,2.35,87.8,0.9,1.5,107.0,15.0,-53.8,-40.36088867,786.5952107,0.146280735,14.1,0.7,9.8,,,,
222,S1C4 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,1.65,0.0,0.0,0.0,0.0,21.0,0.0,-45.63954511,928.7990426,0.129448399,13.4,0.8,6.5,,,,
223,S1C5 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,no,silent,silent,silent,0.0,0.0,0.0,yes,7.4,yes,16.85,0.0,0.0,0.0,0.0,12.0,0.0,-56.75981253,553.5535663,0.272846811,14.8,1.0,8.2,,,,
224,S1C6 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,,tonic,tonic,phasic,4.5,5.0,221.0,,,,,81.7,2.4,2.2,232.8,,-51.5,-44.17026969,,,,,,,,,
225,S1C7 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,,,,,,,,,,,,,,,,,,,,0.459960291,12.0,0.6,6.6,only synaptic ,,,
226,S1C8 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,4.8,0.0,0.0,0.0,0.0,27.0,0.0,-45.48897912,553.1870313,0.113563317,12.2,0.7,3.1,,,,
227,S1C9 12102023,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,yes,phasic,phasic,silent,1.2,1.8,833.3,no,0.0,yes,4.33,88.3,2.7,2.4,275.1,12.0,-45.7,-38.54365331,911.2973024,0.700389105,13.2,1.1,9.3,,,,
228,S1C10 1210202,F,Unknown,pan-MPOA-virgin-NPYantag,to be stained,BRAC8504.4d,WT,npy_antag,,,yes,tonic,tonic,silent,2.6,2.7,391.7,no,0.0,yes,2.75,89.2,1.5,1.9,171.2,12.0,-49.5,-41.54431567,542.9721899,0.877078578,14.4,0.7,6.8,,,,
229,S1C1 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,no,tonic,tonic,silent,10.1,10.7,99.0,yes,7.6,yes,7.93,73.44,2.3,2.3,197.1,9.0,-50.2,-45.45003154,545.3627127,2.430326641,5.9,1.6,20.6,,,,
230,S1C2 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,yes,tonic,tonic,silent,7.1,7.3,140.4,no,0.0,yes,1.77,73.2,2.9,2.3,226.1,3.0,-48.5,-39.59779639,949.2731151,2.42,5.6,1.6,11.0,,,,
231,S1C3 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,yes,tonic,tonic,silent,0.44,0.59,2246.0,no,0.0,yes,13.21,63.73,8.7,5.1,555.4,9.0,-42.0,-34.76032142,790.9181641,3.220394737,7.3,1.0,13.15,,,,
232,S1C4 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,no,tonic,tonic,silent,7.49,8.43,133.4,no,0.0,yes,6.81,75.65,2.2,2.2,191.0,12.0,-49.3,-39.61927956,721.4411246,9.893333333,13.0,1.2,9.4,,,,
233,S1C5 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,no,tonic,tonic,phasic,19.0,19.6,52.7,no,0.0,no,0.0,77.1,1.77,2.4,177.6,6.0,-49.23,-38.28190238,690.5845672,9.51,7.9,1.1,13.1,,,,
234,S1C6 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,no,tonic,tonic,silent,1.14,1.6,875.8,yes,4.61,yes,4.18,76.0,2.3,2.5,207.7,15.0,-51.4,-40.57315866,614.4368148,4.793333333,20.0,2.3,14.1,,,,
235,S1C7 16022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8644.5e,WT,npy1r_antag,,,yes,phasic,phasic,phasic,1.7,2.6,576.1,no,0.0,yes,4.03,80.2,2.1,2.0,202.4,,-48.8,-44.41886927,844.9590714,0.7,7.5,2.7,14.4,,,,
236,S1C1 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,no,tonic,tonic,silent,0.9,1.2,1143.0,yes,5.83,yes,15.5,92.2,2.2,2.3,236.5,21.0,-55.8,-40.18473796,658.4612583,2.175074184,17.9,1.0,7.5,,,,
237,S1C2  1902202,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,no,tonic,tonic,silent,0.03,0.03,29242.0,yes,4.7,yes,8.18,86.5,1.3,1.8,154.9,27.0,-60.4,-53.49210303,586.5987902,9.139707644,18.5,0.9,7.8,,,,
238,S1C3 1902024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,yes,tonic,tonic,silent,2.4,2.9,418.6,yes,7.2,yes,11.7,76.7,2.0,2.3,189.8,6.0,-53.5,-44.54120658,682.301067,1.790046656,11.45,0.9,8.2,,,,
239,S1C4 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,yes,3.54,no,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-51.69607858,772.4113468,12.98302872,17.6,1.0,9.25,,,,
240,S1C5 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-41.33388966,337.7082252,7.498174738,8.3,1.0,15.2,,,,
241,S1C6 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,yes,tonic,tonic,silent,0.53,1.03,1807.0,no,0.0,yes,3.78,81.6,3.8,2.4,311.0,18.0,-49.0,-39.20320578,1077.88813,0.567850903,16.9,0.9,5.4,,,,
242,S1C7 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,yes,phasic,phasic,silent,0.71,1.4,1401.0,no,0.0,yes,25.48,59.7,10.0,3.1,465.6,7.0,-40.6,-34.47483679,744.8253164,2.324324324,10.4,1.2,6.6,,,,
243,S1C8 19022024,F,Unknown,pan-MPOA-virgin-NPY1R-antag,to be stained,BRAC8716.4c,WT,npy1r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,36.0,0.0,-61.375,448.657179,10.18499486,11.5,1.1,11.9,,,,
244,S1C1 24022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC8774.4f,WT,npy2r_antag,,,no,phasic,phasic,phasic,2.21,2.74,452.0,no,0.0,yes,5.0,84.6,1.8,2.0,184.0,24.0,-50.0,-36.93797941,634.5171888,3.465634076,13.0,1.0,9.6,,,,
245,S1C2 24022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC8774.4f,WT,npy2r_antag,,,yes,phasic,phasic,phasic,1.9,3.75,533.8,no,0.0,yes,4.0,90.3,3.9,2.1,337.0,12.0,-39.7,-40.59036756,822.0115462,3.933554817,18.9,0.4,7.1,,,,
246,S1C3 24022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC8774.4f,WT,npy2r_antag,,,yes,phasic,phasic,phasic,2.3,3.5,427.4,no,0.0,yes,8.0,66.7,4.2,2.7,270.3,4.0,-38.3,-31.96489142,637.5733221,6.428125,19.7,0.9,7.4,,,,
247,S1C4 24022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC8774.4f,WT,npy2r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,27.0,0.0,-54.20604006,750.1772237,8.67718056,11.8,1.0,9.85,,,,
248,S1C5 24022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC8774.4f,WT,npy2r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.7,0.0,0.0,0.0,0.0,18.0,0.0,-57.9087184,534.1955199,1.679413639,17.3,1.0,8.7,,,,
249,S1C1 26022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC9098.2c,WT,npy2r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,yes,20.0,yes,6.9,0.0,0.0,0.0,0.0,21.0,0.0,-58.6382113,838.7148005,0.458952812,11.2,1.7,13.3,,,,
250,S1C2 26022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC9098.2c,WT,npy2r_antag,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,yes,3.4,0.0,0.0,0.0,0.0,30.0,0.0,-51.96938939,366.8292559,0.499509644,8.8,2.4,26.8,,,,
251,S1C3 26022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC9098.2c,WT,npy2r_antag,,,no,tonic,tonic,silent,1.5,1.9,666.0,yes,8.39,yes,3.6,86.7,1.3,3.5,197.5,21.0,-59.0,-45.12033832,332.910301,11.21173469,14.5,1.0,7.7,,,,
252,S1C4 26022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC9098.2c,WT,npy2r_antag,,,no,tonic,tonic,phasic,1.5,1.7,640.0,no,0.0,no,0.0,99.9,2.0,1.8,234.0,3.0,-58.9,-45.62169765,948.8056807,3.096969697,10.9,1.4,13.8,,,,
253,S1C5 26022024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,to be stained,BRAC9098.2c,WT,npy2r_antag,,,no,tonic,tonic,silent,4.0,4.3,250.0,no,0.0,yes,8.12,64.1,2.8,1.9,185.8,3.0,-53.1,-44.75937839,852.1233172,10.45307443,9.8,1.8,15.3,,,,
254,S1C1 01052024,F,Unknown,pan-MPOA-virgin-NPY2R-antag,M,BRAC8853.5a,,npy2r_antag,,,,silent,silent,silent,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,-31.47917379,,,,,,lost early ,,,
255,S1C2 01052025,F,Unknown,pan-MPOA-virgin-NPY2R-antag,M,BRAC8853.5a,,npy2r_antag,,,no,tonic,tonic,phasic,37.8,38.0,26.4,no,0.0,yes,10.7,58.1,2.6,2.1,161.5,3.0,-52.0,-42.42528555,683.0163444,2.491727333,4.2,1.1,21.5,,,,
256,S1C3 01052026,F,Unknown,pan-MPOA-virgin-NPY2R-antag,M,BRAC8853.5a,,npy2r_antag,,,no,tonic,tonic,silent,5.1,5.2,194.4,yes,5.4,yes,10.5,83.0,1.8,2.0,187.3,7.0,-60.8,-51.52306931,649.7604008,4.126731774,11.3,1.2,9.3,,,,
257,S1C4 01052027,F,Unknown,pan-MPOA-virgin-NPY2R-antag,M,BRAC8853.5a,,npy2r_antag,,,yes,tonic,tonic,silent,5.5,5.8,180.7,yes,3.0,yes,11.0,65.7,3.0,2.1,195.8,27.0,-50.2,-40.37672512,603.929183,2.072158365,8.0,0.8,8.0,,,,
258,S1C5 01052028,F,Unknown,pan-MPOA-virgin-NPY2R-antag,M,BRAC8853.5a,,npy2r_antag,,,yes,silent,silent,silent,0.0,0.0,0.0,yes,4.96,yes,1.91,0.0,0.0,0.0,0.0,18.0,0.0,-43.88779021,603.929183,0.356666667,10.6,0.8,6.4,,,,
259,S2C1 22072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,2.23,0.0,0.0,0.0,0.0,,0.0,-49.1560239,965.4,,,,,,,,
260,S1C2 23072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,11.08,0.0,0.0,0.0,0.0,,0.0,-58.64170794,781.228592,,,,,,,,
261,S2C1 23072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,tonic,tonic,silent,0.74,,,,,yes,11.7,,,,,,,-43.66228154,606.1925648,,,,,,,,
262,S2C1 24072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,,0.0,0.0,0.0,0.0,,0.0,-52.35746004,359.3407257,,,,,,,,
263,S1C1 30072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,19.99,0.0,0.0,0.0,0.0,,0.0,-48.85272872,268.7661163,,,,,,,,
264,S2C1 30072023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,,WT,npy_10_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,4.3,0.0,0.0,0.0,0.0,,0.0,-53.95698742,140.0296638,,,,,,,,
265,S1C2 23112023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8913.1d,WT,npy_10,,,no,tonic,tonic,silent,0.2,0.3,4458.0,yes,7.3,no,0.0,88.8,2.0,1.9,229.0,15.0,-64.2,-54.64650954,708.4442285,1.088985688,8.2,1.6,32.3,,,,
266,S1C3 23112023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8913.1d,WT,npy_10,,,no,tonic,tonic,silent,0.03,0.1,26032.0,no,0.0,no,0.0,68.3,3.2,2.5,261.7,21.0,-64.0,-58.27168294,643.2922602,2.778858625,17.0,1.4,17.7,,,,
267,S1C4 23112023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8913.1d,WT,npy_10,,,yes,tonic,tonic,silent,0.5,0.8,2070.3,no,0.0,no,0.0,69.1,2.8,2.1,219.1,12.0,-58.1,-50.33926285,958.4903478,0.676342525,6.9,1.2,17.9,,,,
268,S1C5 23112023,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8913.1d,WT,npy_10,,,yes,tonic,tonic,silent,0.5,1.2,1958.2,no,0.0,yes,6.62,85.8,2.8,2.4,260.0,21.0,-47.3,-36.83076207,688.5083007,7.000322893,17.4,1.1,8.9,,,,
269,S1C4 15012024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC 9060.1h,WT,npy_10,,,yes,tonic,tonic,silent,0.2,0.7,5459.4,no,0.0,yes,3.3,63.2,2.1,1.85,159.8,21.0,-51.6,-50.60363224,1057.81942,,,,,,,,
270,S1C5 15012024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC 9060.1h,WT,npy_10,,,yes,phasic,phasic,silent,1.3,1.7,750.0,no,0.0,yes,6.4,86.8,1.9,2.0,201.5,9.0,-55.1,-44.14632234,810.7049098,,,,,,,,
271,S1C6 15012024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC 9060.1h,WT,npy_10,,,no,tonic,tonic,silent,0.95,1.5,1051.0,no,0.0,no,0.0,82.3,2.2,2.1,213.0,9.0,-51.9,-42.24845742,848.5951772,,,,,,,,
272,S1C7 15012024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC 9060.1h,WT,npy_10,,,yes,tonic,tonic,silent,1.1,1.8,929.3,no,0.0,no,0.0,77.6,3.3,2.9,300.0,6.0,-47.25,-40.33552793,797.2913379,3.551401869,9.9,1.2,8.0,,,,
273,S1C1 13022024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8644.5e,WT,npy_10,,,yes,silent,silent,silent,0.0,0.0,0.0,yes,4.79,yes,1.56,0.0,0.0,0.0,0.0,12.0,0.0,-42.36249309,751.9433194,1.042,9.2,0.7,12.7,,,,
274,S1C2 13022024,F,Unknown,pan-MPOA-virgin-NPY10nM,to be stained,BRAC8644.5e,WT,npy_10,,,no,tonic,silent,silent,4.8,5.0,207.9,no,0.0,yes,17.46,89.8,1.4,1.7,155.0,9.0,-58.1,-48.98902866,485.2646304,8.759102826,14.4,1.1,9.8,,,,
275,S1C2 17062023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8525.1f,WT,npy_100_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,no,0.0,0.0,0.0,0.0,0.0,,0.0,-70.00679674,1219.0877,,,,,,,,
276,S2C1 25052023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8525.1f,WT,npy_100_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,no,0.0,0.0,0.0,0.0,0.0,,0.0,-73.14136539,364.8645821,,,,,,,,
277,S3C2 25052023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8525.1f,WT,npy_100_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,-89.03005702,,,,,,,,,
278,S3C1 30072023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8525.1f,WT,npy_100_paired,,,,silent,silent,silent,0.0,0.0,0.0,,,yes,12.94,0.0,0.0,0.0,0.0,,0.0,-64.9324321,651.5752282,,,,,,,,
279,S1C6 23112023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8913.1d,WT,npy_100,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,15.0,0.0,-57.74803712,856.6864971,0.750396336,10.9,1.5,11.1,,,,
280,S1C1 29112023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8231.8c,WT,npy_100,,,,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,90.0,0.0,-40.16220446,821.1722696,0.642962963,9.7,3.2,,,,,
281,S1C2 29112023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8231.8c,WT,npy_100,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,60.0,0.0,-65.20049348,542.1202644,0.851103282,11.2,1.0,8.2,,,,
282,S1C3 29112023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8231.8c,WT,npy_100,,,no,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,50.0,0.0,-51.27511513,704.3656409,3.070348455,8.0,1.4,11.5,,,,
283,S1C1 11122023,F,Unknown,pan-MPOA-virgin-NPY100nM,to be stained,BRAC8950.1f,WT,npy_100,,,yes,silent,silent,silent,0.0,0.0,0.0,no,0.0,no,0.0,0.0,0.0,0.0,0.0,18.0,0.0,-49.24137889,880.398007,1.315363881,10.8,0.8,11.7,,,,
